DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20160429,20111.938602597256,6.913090522925158,19.178739991319105,1.0247513432777604,2.6073851535735533,0.7260186409135795,
20160430,20320.933720508954,7.349582420620431,19.71824571148082,1.0574408958133032,2.6888335250715762,0.890758785359468,
20160501,20473.572221651917,7.633832850073314,19.97827315986155,1.080001313448672,2.7255630412936167,1.0905882403308271,
20160502,20564.411475909677,7.8146354940125615,20.00658525218232,1.1004571424783265,2.7184626978521296,1.0493024565526126,
20160503,20572.71300547565,7.929742027651673,20.164522823969712,1.1205497148516468,2.6319468722365205,1.132478453678709,
20160504,21017.44298546898,8.182918443050545,20.403445574314258,1.1346488589675512,2.5918817241806478,0.8422024649427119,
20160505,21287.825261329293,8.648156107374751,20.53247630412521,1.154267662076961,2.5994567847006396,1.0776541309229641,
20160506,21308.660552101413,9.014924112892858,20.89409589678253,1.1810064704487382,2.5865362515286296,1.0901795614701908,
20160507,21406.523558674933,9.395485454361296,21.338098982650017,1.2121334064333253,2.666426301841612,1.2357331067886235,
20160508,21460.32386084779,9.621473511820913,21.51278179288788,1.2324311133126449,2.70055154910342,1.4102164916842492,
20160509,21465.828380923427,9.741879093589837,21.46601061845127,1.249896535577348,2.6901446310588963,1.3383339343356813,
20160510,21403.057697265496,9.794615933145138,21.558907305803917,1.2662542961026875,2.599964012000902,1.3866727723863141,
20160511,21791.282208799174,9.98357932241869,21.742308393349454,1.2758696167292856,2.556210080882454,1.0584034661116233,
20160512,22019.58334075224,10.382861866045294,21.82453673935082,1.2902640601527047,2.56038692569041,1.2538349068811452,
20160513,22012.192978895153,10.682012698861142,22.147032180972108,1.3110602417416073,2.5446445664568937,1.2254581096985466,
20160514,22094.722044294118,10.993362393098387,22.55835000319457,1.3355627585927088,2.622538201164368,1.3303588898424328,
20160515,22144.762986998343,11.148609641383914,22.705397341683543,1.3486050216735843,2.655697806794598,1.4655289160156744,
20160516,22156.462607358597,11.196819509616827,22.634554378123788,1.358248781368966,2.645512264129674,1.3566944600792783,
20160517,22107.97589783965,11.176000640514244,22.705415074180394,1.3662968990190865,2.5568432320988395,1.3713730073586285,
20160518,22516.52514189182,11.290175543889596,22.867302286855544,1.3672053110395064,2.515938953008502,1.0135521650835615,
20160519,22769.027574090527,11.613607398252384,22.927094333342616,1.3725974728604973,2.524295423094957,1.1842272777774656,
20160520,22787.50283601191,11.83606915337943,23.224907796214612,1.3842074499306556,2.513999717415656,1.1364312105376608,
20160521,22895.369176750413,12.070176635907137,23.608143687053285,1.3994589307968845,2.5984919823221873,1.2276371755893318,
20160522,22968.1112589099,12.147981268021057,23.722765571829207,1.4033098844252516,2.6392393500668305,1.3550641576282523,
20160523,22997.914160804045,12.118971784570864,23.614455183195915,1.4039496962890636,2.6374258121071343,1.2445043065947596,
20160524,22961.172599864032,12.021652004707262,23.642379161740145,1.403309386972671,2.557673104040746,1.263382396690671,
20160525,23373.59814172239,12.060608567692643,23.755720929023838,1.3959709168338703,2.5259625745727554,0.9154416141977664,
