DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20160101,3360.0,-12.56,-10.84,0.1821009566243603,4.56,0.8199999999999998,
20160102,3280.0,-15.56,-12.36,0.1729061797491613,3.34,0.73,
20160103,3500.0,-17.1,-14.31,0.1513187912692328,3.66,0.12,
20160104,3420.0,-16.1,-14.27,0.1592153041490362,4.48,0.8899999999999999,
20160105,3160.0,-15.56,-11.74,0.1786403304891116,3.28,0.2,
20160106,1710.0,-14.3,-9.94,0.224125022042251,2.02,1.09,
20160107,2340.0,-11.99,-5.84,0.2914269427655973,2.88,1.07,
20160108,1290.0,-7.1,-6.17,0.342267550998388,5.5,20.82,
20160109,1430.0,-12.99,-6.76,0.2812102095468839,5.12,8.04,
20160110,3710.0,-22.2,-11.67,0.1558814665547419,2.86,0.05,
20160111,3140.0,-22.33,-13.92,0.1495273687778453,3.62,0.13,
20160112,1930.0,-13.6,0.56,0.3647138036095138,7.7,13.130000000000004,
20160113,1110.0,-10.16,0.44,0.4253528772153087,3.91,0.29,
20160114,1640.0,-12.56,-3.47,0.3210565256147104,3.11,0.8499999999999999,
20160115,4650.0,-14.99,-7.21,0.2364691730408187,2.59,0.06,
20160116,3510.0,-13.64,-2.98,0.3135932547719238,5.98,9.17,
20160117,4130.0,-12.69,-3.31,0.2834526533150725,2.94,0.36,
20160118,3200.0,-11.4,-7.81,0.2789835538351103,7.06,25.08,
20160119,3510.0,-9.13,-5.63,0.3333262823531544,4.39,9.57,
20160120,2140.0,-18.11,-6.43,0.2557103583229722,5.41,2.28,
20160121,3650.0,-18.78,-11.5,0.1804384857897491,2.77,4.41,
20160122,4930.0,-18.64,-10.62,0.1867046108493177,2.88,0.57,
20160123,5780.0,-17.05,-12.1,0.173923132109708,2.62,0.24,
20160124,6230.0,-20.56,-14.77,0.1443894878776764,1.99,0.27,
20160125,4610.0,-21.13,-14.88,0.1467505181303569,3.7,0.09,
20160126,5230.0,-20.96,-12.11,0.167336797239173,3.49,0.31,
20160127,2990.0,-11.85,-4.86,0.3140859670042314,4.78,3.35,
20160128,2560.0,-4.6,0.43,0.5436324935501258,3.96,4.09,
20160129,3330.0,-2.06,0.68,0.5669190364749673,7.48,0.47,
20160130,3160.0,-4.35,0.05,0.5177299028016724,5.63,0.24,
20160131,4770.0,-3.03,0.4,0.5533321114921302,7.65,1.54,
20160201,5530.0,-4.32,0.12,0.4980976262566106,4.12,0.39,
20160202,4460.0,-6.33,0.8,0.4769803426643932,5.35,0.78,
20160203,4570.0,0.08,0.83,0.6197478682644121,6.27,4.04,
20160204,2800.0,-1.74,0.58,0.5748749746479173,3.77,1.06,
20160205,6610.0,-6.73,-0.22,0.444772300374062,3.2,0.14,
20160206,7710.0,-10.11,-0.94,0.3692428120780939,3.27,0.03,
20160207,8610.0,-12.99,-3.66,0.2794276265736044,2.29,0.02,
20160208,8680.0,-11.88,-2.13,0.3215596409537579,4.8,0.05,
20160209,6530.0,-10.56,-1.46,0.367538618275151,6.0,0.07,
20160210,6370.0,-4.88,0.3,0.5196532420301889,6.47,0.17,
20160211,6180.0,-4.79,0.24,0.4881663334672458,9.16,0.53,
20160212,5910.0,-2.29,0.17,0.5404328935138522,4.79,4.43,
20160213,2770.0,-4.42,0.03,0.4958753425926115,3.66,0.35,
20160214,6640.0,-4.7,1.0,0.5590606635253217,6.77,4.07,
20160215,5520.0,-0.62,1.17,0.6072529609352363,4.35,0.4499999999999999,
20160216,1920.0,-1.84,1.18,0.6103556206195544,6.41,3.35,
20160217,10080.0,-11.04,-2.29,0.3689582937057087,4.66,0.01,
20160218,10720.0,-13.63,-1.87,0.2905056131478319,3.09,0.01,
20160219,7050.0,-11.31,-1.56,0.3398802575395568,3.34,0.09,
20160220,8880.0,-15.45,-2.47,0.2914269427655973,1.89,0.04,
20160221,7000.0,-10.26,-2.59,0.3388239928514224,1.8,0.08,
20160222,3680.0,-7.2,1.46,0.4769803426643932,8.14,6.58,
20160223,6400.0,0.32,1.25,0.6274444687173291,5.25,5.34,
20160224,4890.0,0.48,0.82,0.619297737794915,1.66,9.65,
20160225,5580.0,-2.92,0.68,0.5727717891898538,4.41,2.75,
20160226,10900.0,-5.59,0.93,0.4907241252967253,3.03,0.8599999999999999,
20160227,3690.0,-5.56,0.29,0.5376469266839089,2.85,3.3999999999999995,
20160228,11670.0,-10.02,-0.2,0.3558034384049454,1.93,0.06,
20160229,4830.0,-8.48,2.14,0.5313266807086203,2.72,1.35,
20160301,2300.0,0.61,1.92,0.6449549125980634,4.73,15.51,
20160302,3330.0,0.91,2.94,0.6931158098209707,4.38,1.58,
20160303,6460.0,-1.55,3.61,0.5816511507757731,2.47,1.59,
20160304,2950.0,-0.34,3.48,0.6773698299879021,4.54,9.69,
20160305,4650.0,-0.81,5.67,0.6725144557509195,2.58,0.92,
20160306,4160.0,-2.2,5.41,0.5829295193143046,1.33,0.4199999999999999,
20160307,4860.0,-0.68,6.99,0.6468230046985183,2.4,0.13,
20160308,9220.0,1.64,9.06,0.7566914110265112,4.26,0.1099999999999999,
20160309,12200.0,-0.92,8.62,0.6976022222573911,3.2,0.02,
20160310,11550.0,-1.99,8.85,0.6412330280971357,3.4,0.02,
20160311,13460.0,-3.19,9.18,0.5945471386695241,2.67,0.03,
20160312,9600.0,-3.27,8.34,0.5769849887614223,0.95,0.52,
20160313,5340.0,-1.01,3.59,0.633386993995039,2.78,8.87,
20160314,8560.0,-4.35,1.31,0.4344730938368294,4.61,0.25,
20160315,15970.0,-5.6,2.69,0.3860817777566631,3.34,0.0,
20160316,11960.0,-5.4,3.01,0.4892610805018335,5.07,0.31,
20160317,6720.0,-0.35,4.59,0.5945471386695241,4.88,0.32,
20160318,7090.0,-3.6,6.07,0.6130261907523127,6.14,2.9,
20160319,12410.0,-6.99,-2.62,0.308218570971378,4.45,1.31,
20160320,8710.0,-7.43,-2.83,0.3338464385866816,2.77,1.79,
20160321,11220.0,-10.23,-0.93,0.3644323847671579,2.31,1.2,
20160322,12310.0,-2.56,5.83,0.56942084855917,3.87,0.8999999999999999,
20160323,5620.0,-1.89,4.62,0.5980284914881802,1.73,1.86,
20160324,6550.0,-2.04,2.36,0.584637876198776,4.31,13.65,
20160325,5340.0,-1.38,1.32,0.5665030145924689,3.58,2.86,
20160326,6190.0,-3.06,2.2,0.5246835586109778,2.6,0.32,
20160327,6950.0,-2.49,4.25,0.589358712745655,3.37,1.55,
20160328,6720.0,-2.5,4.05,0.563598416057571,2.22,5.85,
20160329,7220.0,-3.36,3.12,0.5598832969674155,2.71,2.7700000000000005,
20160330,17590.0,-3.62,10.2,0.6672090837469835,2.64,0.56,
20160331,7590.0,2.11,6.62,0.7996252442917136,3.49,4.44,
20160401,6950.0,1.39,6.16,0.7492045910878282,2.78,13.47,
20160402,7230.0,-0.67,2.21,0.6103556206195544,6.59,9.87,
20160403,16880.0,-0.31,7.35,0.6010894503236256,5.77,0.04,
20160404,14030.0,-0.71,10.3,0.6491648437127977,3.83,0.12,
20160405,19230.0,-2.25,10.64,0.5623576269500697,1.96,0.0,
20160406,18300.0,2.13,13.23,0.6269893995901618,1.02,0.0,
20160407,10700.0,2.12,14.7,1.0198860834129948,2.42,1.91,
20160408,14140.0,4.69,15.87,0.9566896956240118,1.35,0.3,
20160409,16640.0,5.35,21.19,1.2595836775564206,3.27,0.15,
20160410,20730.0,6.1,17.67,0.9841120299720462,3.8,0.0,
20160411,20710.0,4.57,18.79,1.1334074155948777,2.59,0.0,
20160412,17660.0,6.44,16.78,1.0919140837040695,3.03,0.07,
20160413,17720.0,5.0,17.68,1.0911722041503606,2.11,0.02,
20160414,13810.0,8.31,16.84,1.1938270613559196,2.47,1.01,
20160415,11680.0,6.05,17.76,1.261267593034217,3.48,2.5,
20160416,4660.0,1.5,10.67,0.8759711860031375,3.73,4.56,
20160417,13690.0,1.08,14.19,0.9082647197555468,1.88,1.13,
20160418,19280.0,6.37,21.09,1.3750584263039285,2.92,2.49,
20160419,13320.0,3.73,14.54,0.9107917529537024,3.09,0.18,
20160420,13840.0,2.73,11.84,0.8024492916602007,1.84,1.56,
20160421,13240.0,2.2,7.11,0.7021142659714914,4.63,2.03,
20160422,13590.0,0.53,9.9,0.7386225832633807,5.13,7.199999999999999,
20160423,12920.0,2.54,9.94,0.6966030310831358,3.16,0.73,
20160424,17980.0,0.4,13.29,0.8265208707618117,3.63,0.13,
20160425,12030.0,6.88,15.57,1.1136226181249442,4.94,2.29,
20160426,7750.0,9.28,16.4,1.2287857237746695,4.19,3.78,
20160427,11100.0,8.73,16.12,1.285907734393975,1.9,9.72,
20160428,12100.0,8.46,15.59,1.169169902647606,1.05,4.86,
20160429,8210.000000000002,7.25,14.58,1.1349420543508326,2.12,2.1,
20160430,8240.0,6.81,12.7,1.027598762466469,3.21,0.2299999999999999,
20160501,20130.0,5.01,15.58,0.892610317995653,2.58,0.14,
20160502,21940.0,2.65,15.89,0.8512271879221929,2.82,0.02,
20160503,22370.0,4.52,16.87,1.0339472912259318,2.03,0.02,
20160504,22570.0,5.54,18.86,0.9713192108887592,2.02,0.01,
20160505,18170.0,6.09,16.85,1.0403303309606555,2.24,1.21,
20160506,15260.0,5.51,17.23,1.0941423867663485,2.45,3.84,
20160507,22060.0,9.02,19.56,1.2353880433172073,3.06,2.22,
20160508,23250.0,8.51,20.83,1.2503574240382131,2.23,0.5,
20160509,21810.0,9.45,22.1,1.1519441397592496,1.13,0.2,
20160510,21930.0,10.05,23.28,1.1511664840611049,0.83,0.05,
20160511,23720.0,13.94,23.03,1.2756609668862295,1.33,1.17,
20160512,18880.0,10.76,19.98,1.3905860748812382,2.06,4.96,
20160513,22230.0,7.53,17.4,1.1053440455307897,3.28,0.02,
20160514,6710.0,7.54,12.09,1.154279880629845,4.78,7.809999999999999,
20160515,7770.0,8.55,15.34,1.2213952181742944,2.16,2.24,
20160516,16990.0,7.3,15.74,1.116646508190601,3.02,0.28,
20160517,18220.0,6.73,19.83,1.2816294892538995,2.03,8.83,
20160518,15930.0,9.18,16.65,1.2287857237746695,2.39,3.77,
20160519,8950.0,7.38,14.26,1.1858236380583949,2.27,19.3,
20160520,16110.0,7.01,12.6,1.052481910781856,4.8,4.39,
20160521,11850.0,8.58,13.52,1.1613121221729747,4.4,5.1,
20160522,19260.0,7.8,16.73,1.2124154801316451,3.12,0.81,
20160523,18740.0,7.08,16.83,1.2230341661545374,1.42,3.11,
20160524,16710.0,9.2,17.58,1.2503574240382131,1.26,4.1,
