DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170101,2037.0694253307738,-10.084969519203092,-5.523513736033344,0.4857816622824798,3.7884798543988945,2.7600000259099176
20170102,1973.3808841970495,-10.439458537691285,-5.881178939548182,0.4789122648356864,3.816113551825874,2.6652745157118547
20170103,1884.8039648661597,-10.880539264138427,-6.139335406500647,0.4619646181590248,3.675830798729763,2.799190017605317
20170104,2273.5282546569942,-11.206580456491732,-6.301448509402926,0.4444881830820213,3.549072019978948,2.4309298763449383
20170105,2116.6609340717205,-11.181903995148183,-6.508270500341839,0.4443865568374984,3.538513312970439,2.8978167157217443
20170106,2260.0133438984412,-11.303962940698403,-6.5527457761655405,0.4373395268834186,3.5442481649511066,2.830854818631614
20170107,2073.680170865964,-11.658844465376962,-6.692307906618394,0.4362260551935857,3.629419358824088,2.957082291680447
20170108,2184.3421969439532,-11.97660756940786,-6.94885116481143,0.43507418880399396,3.64666463726004,3.303946949075318
20170109,2123.2223324440492,-12.42851767320359,-7.40251178984909,0.42853039609163257,3.704792851274589,3.2115424862354143
20170110,2043.3113613081605,-12.948651260348866,-7.741853288072585,0.412768071182518,3.597865364929051,3.335851462532438
20170111,2447.6441598241418,-13.333657502969173,-7.9682515783460275,0.3972903733005606,3.506667207752189,2.945971023943728
20170112,2313.97435378473,-13.3465193815924,-8.220720497306642,0.3999346928044418,3.533182745021949,3.3794541252444072
20170113,2488.532237875974,-13.483754183087873,-8.29085528753075,0.39629702597318683,3.576790722255936,3.2678493043123695
20170114,2341.582156982433,-13.830929680821995,-8.435158119091772,0.3991577462710435,3.6999096339033595,3.339041344227022
20170115,2499.7111163293066,-14.118005709844946,-8.675027658951414,0.4024346814515174,3.754456726208333,3.621607016794519
20170116,2493.7789298896387,-14.516563264216876,-9.09054747765811,0.40065589904205723,3.848537114203847,3.4570229889195714
20170117,2476.146671340801,-14.961394559399535,-9.37066745678195,0.38987183806451253,3.775537556355997,3.502873161082844
20170118,2948.9642579393912,-15.250241482298659,-9.517574161076588,0.3794618447810131,3.7156091721269195,3.0300323372821385
20170119,2888.864929721405,-15.147525640290132,-9.671491147028624,0.3871422939544731,3.770153691039092,3.377960146350457
20170120,3140.7509764971583,-15.151510780101763,-9.625587570831698,0.3883944694676754,3.8380279350376667,3.180189586893017
20170121,3073.3861839783604,-15.349774930942845,-9.638260149568042,0.3958935890587747,3.9811973579722406,3.1666139730316676
20170122,3311.725799982194,-15.474503168671772,-9.733071727984466,0.4034647878480615,4.0512018550957105,3.367787996821016
20170123,3384.91315365672,-15.699664413178018,-9.992482677500035,0.40555837958438967,4.15585025447566,3.1270815479311693
20170124,3443.5583386258695,-15.962547053022638,-10.107970886119263,0.3981639633774987,4.0883179941178,3.1038351109753295
20170125,3988.078299852359,-16.063442200585122,-10.084338010904311,0.39061837917839004,4.028632257402482,2.570495137557016
20170126,3993.444502631017,-15.769319162253481,-10.064444735789424,0.40061465610556257,4.078159168051957,2.8678647138224407
20170127,4303.020906434295,-15.580935223914436,-9.84405518166291,0.40363010825793755,4.135807782217543,2.630555158234242
20170128,4284.206088516155,-15.588258356907254,-9.684057268091374,0.4123549622665995,4.26368175801277,2.5892434136504066
20170129,4560.808744851183,-15.525714881039528,-9.610343936462602,0.42064734940006987,4.313541989997862,2.774951828267511
20170130,4661.084229596377,-15.569326496900155,-9.707492983100373,0.42300701732328827,4.393496710493118,2.5311896100111313
20170131,4735.046219899151,-15.658212317075119,-9.668842604213106,0.41548738232863713,4.297093664167473,2.517105164003996
20170201,5282.831711392715,-15.59424535076709,-9.50076145078011,0.4075009935756506,4.204798741196485,2.004627832260661
20170202,5279.464614886836,-15.145708478796251,-9.347356814257813,0.416825634820171,4.218475790449741,2.333734206217627
20170203,5568.700025805946,-14.814392264115346,-9.00530169553112,0.4190293102600333,4.237582475846312,2.1379242275604575
20170204,5518.662639946884,-14.69101323743558,-8.736047873103919,0.42689559851696246,4.324813185027817,2.1465112637745225
20170205,5754.208466360693,-14.510464521633244,-8.5657099003122,0.4343753120642009,4.332552408213552,2.388941835514708
20170206,5804.937722561484,-14.448962835765158,-8.578757504547346,0.43605692322786926,4.369555219577793,2.206983148360858
20170207,5822.473520870916,-14.445566952755533,-8.468112928908234,0.4280754819030681,4.23002959696873,2.257926324049492
20170208,6308.785359586584,-14.301856344961813,-8.23945118521508,0.41991519595366056,4.095105092649083,1.8117823904070551
20170209,6240.903763816506,-13.785614193360106,-8.035945768441312,0.42941299128122634,4.067302701242502,2.2066046370529655
20170210,6464.709459426068,-13.397956130818585,-7.653139305644201,0.43218137897178166,4.046720909591765,2.074020930032936
20170211,6350.512067375041,-13.22878230124922,-7.351204806802915,0.44103218112631104,4.096669055737901,2.1415785376161622
20170212,6525.349142543118,-13.012063489818978,-7.154880873852855,0.44992710500164457,4.070111529186228,2.4371155455421523
20170213,6520.935227889447,-12.923024239076739,-7.147216690366431,0.45344766202802955,4.076339555087906,2.300995497605328
20170214,6490.877379637037,-12.89969691505456,-7.019721654884902,0.4477041743007335,3.910045404186585,2.3893517663104475
20170215,6938.938031766335,-12.742634395905046,-6.776715973469226,0.44213903843535185,3.752783642642007,1.9713174899889188
20170216,6843.693352815534,-12.21862457607823,-6.560123182275415,0.4545315441601462,3.707434364290438,2.3843736641932605
20170217,7052.272186717598,-11.827847180463605,-6.164382615959843,0.4604225374775095,3.6743834807458757,2.2598981955585034
20170218,6935.892122231366,-11.659349725199167,-5.848746198142484,0.47254042557372966,3.7171512808036535,2.3255179434927142
