DAY,IRRD,TMIN,TMAX,VAP,WIND,RAIN
20170101,1648.997802734375,-11.174964904785156,-6.369621276855469,0.46867871284484863,3.816941738128662,2.5867743492126465
20170102,1566.67236328125,-11.418750762939453,-6.710344314575195,0.46794191002845764,3.918567419052124,2.6708526611328125
20170103,1478.5408935546875,-11.877885818481445,-6.924396514892578,0.4550185203552246,3.8396825790405273,2.699054002761841
20170104,1802.369140625,-12.134950637817383,-7.172994613647461,0.4398057162761688,3.730515718460083,2.3991124629974365
20170105,1655.5230712890625,-12.039628982543945,-7.235408782958984,0.44667765498161316,3.7620837688446045,2.746628761291504
20170106,1865.79833984375,-12.003456115722656,-7.19361686706543,0.4469616711139679,3.80015230178833,2.6303436756134033
20170107,1608.850830078125,-12.237794876098633,-7.248781204223633,0.4510364234447479,3.925107002258301,2.7875680923461914
20170108,1831.1182861328125,-12.428794860839844,-7.38616943359375,0.4524278938770294,3.9376840591430664,2.825338363647461
20170109,1770.973388671875,-12.666278839111328,-7.717209815979004,0.4517143964767456,4.041219234466553,2.901677370071411
20170110,1705.94970703125,-13.114131927490234,-7.917299270629883,0.43893998861312866,3.9633190631866455,2.9201488494873047
20170111,2053.7802734375,-13.35470199584961,-8.147439002990723,0.4240102767944336,3.8541648387908936,2.6085426807403564
20170112,1931.7984619140625,-13.237483978271484,-8.186718940734863,0.431306391954422,3.884734630584717,2.9425363540649414
20170113,2167.758544921875,-13.173856735229492,-8.116973876953125,0.43216028809547424,3.920768976211548,2.8109612464904785
20170114,1937.269287109375,-13.37506103515625,-8.139257431030273,0.4369547367095947,4.042636394500732,2.9512381553649902
20170115,2186.7197265625,-13.52718734741211,-8.238771438598633,0.43921804428100586,4.051070213317871,2.9705309867858887
20170116,2154.41943359375,-13.720026016235352,-8.526922225952148,0.43952909111976624,4.149413108825684,3.027000904083252
20170117,2117.83984375,-14.11749267578125,-8.679133415222168,0.4279305636882782,4.0652923583984375,3.0243680477142334
20170118,2494.646484375,-14.30201530456543,-8.856468200683594,0.41432616114616394,3.9489190578460693,2.6905908584594727
20170119,2402.09375,-14.123197555541992,-8.838132858276367,0.4230923354625702,3.9713141918182373,3.0015246868133545
20170120,2667.86181640625,-13.99258804321289,-8.70610237121582,0.4255554974079132,3.9982705116271973,2.846189498901367
20170121,2467.46875,-14.121646881103516,-8.661627769470215,0.43209078907966614,4.110220909118652,2.9622044563293457
20170122,2747.2158203125,-14.196723937988281,-8.69015121459961,0.4362179636955261,4.107972145080566,2.9569342136383057
20170123,2745.32421875,-14.307912826538086,-8.90334415435791,0.4385054111480713,4.194950103759766,2.9887495040893555
20170124,2739.16552734375,-14.61948013305664,-8.976947784423828,0.4289848804473877,4.098870277404785,2.9615800380706787
20170125,3146.3056640625,-14.714227676391602,-9.072365760803223,0.41754671931266785,3.9700443744659424,2.603595018386841
20170126,3083.8984375,-14.442195892333984,-8.9691801071167,0.42855384945869446,3.9795970916748047,2.8908588886260986
20170127,3379.515625,-14.215375900268555,-8.749767303466797,0.43331804871559143,3.9934301376342773,2.712599039077759
20170128,3208.57470703125,-14.2457275390625,-8.615821838378906,0.44219908118247986,4.092092514038086,2.8066349029541016
20170129,3517.27099609375,-14.220094680786133,-8.553220748901367,0.4487002491950989,4.0765061378479,2.7805261611938477
20170130,3543.712158203125,-14.229110717773438,-8.674116134643555,0.4533734917640686,4.150216102600098,2.7928287982940674
20170131,3565.1650390625,-14.437583923339844,-8.654722213745117,0.4462336599826813,4.04105806350708,2.747647285461426
20170201,3999.087646484375,-14.428892135620117,-8.656937599182129,0.43715423345565796,3.8994626998901367,2.3733131885528564
20170202,3962.534423828125,-14.053632736206055,-8.460829734802246,0.45048069953918457,3.896670341491699,2.64604115486145
20170203,4282.96728515625,-13.724372863769531,-8.149284362792969,0.4575081765651703,3.8986973762512207,2.4551913738250732
20170204,4135.7099609375,-13.653631210327148,-7.924471855163574,0.46858012676239014,3.986201524734497,2.5387001037597656
20170205,4466.849609375,-13.528829574584961,-7.772764205932617,0.477183997631073,3.9602088928222656,2.504227876663208
20170206,4514.4150390625,-13.44114875793457,-7.8067731857299805,0.48385676741600037,4.024361610412598,2.510411024093628
20170207,4555.5791015625,-13.555927276611328,-7.703157424926758,0.4785986840724945,3.906585216522217,2.4614155292510986
20170208,5007.716796875,-13.457052230834961,-7.6242523193359375,0.4712703227996826,3.7573893070220947,2.0856151580810547
20170209,4987.80517578125,-12.99560546875,-7.350526809692383,0.48620569705963135,3.748086929321289,2.3592443466186523
20170210,5323.240234375,-12.584611892700195,-6.965232849121094,0.49468865990638733,3.7447547912597656,2.171664237976074
20170211,5189.27978515625,-12.437015533447266,-6.67088508605957,0.5070541501045227,3.828099250793457,2.260791301727295
20170212,5531.96337890625,-12.240612030029297,-6.454153060913086,0.5167820453643799,3.799184560775757,2.234243631362915
20170213,5589.26904296875,-12.086917877197266,-6.427907943725586,0.5244032144546509,3.861678123474121,2.250595808029175
20170214,5638.33447265625,-12.14157485961914,-6.269048690795898,0.5199142098426819,3.7435190677642822,2.213933229446411
20170215,6096.51025390625,-11.988704681396484,-6.140066146850586,0.5131732225418091,3.5952165126800537,1.8525285720825195
20170216,6080.7548828125,-11.479597091674805,-5.821569442749023,0.5285135507583618,3.5880706310272217,2.1424968242645264
20170217,6418.4609375,-11.027414321899414,-5.39689826965332,0.5372214913368225,3.5881330966949463,1.9730643033981323
20170218,6284.890625,-10.845195770263672,-5.068601608276367,0.5496346354484558,3.6760714054107666,2.081993579864502
20170219,6626.09814453125,-10.62076187133789,-4.823329925537109,0.5592381954193115,3.6529006958007812,2.0767369270324707
20170220,6680.08984375,-10.445621490478516,-4.773908615112305,0.566570520401001,3.722224235534668,2.1156890392303467
20170221,6724.04052734375,-10.485334396362305,-4.597116470336914,0.5616375207901001,3.6119070053100586,2.102743625640869
20170222,7175.35400390625,-10.323907852172852,-4.455299377441406,0.5543074011802673,3.472374677658081,1.7659714221954346
20170223,7151.04931640625,-9.81243896484375,-4.128866195678711,0.5689264535903931,3.4748318195343018,2.08128023147583
20170224,7478.59228515625,-9.36386489868164,-3.7009048461914062,0.5767946839332581,3.48522686958313,1.9376786947250366
20170225,7333.328125,-9.190937042236328,-3.373689651489258,0.5882651209831238,3.584115743637085,2.072711706161499
20170226,7661.408203125,-8.981164932250977,-3.133554458618164,0.5968400239944458,3.5723931789398193,2.0936102867126465
20170227,7700.9423828125,-8.825672149658203,-3.092954635620117,0.6030753254890442,3.653538465499878,2.1585474014282227
20170228,7729.22412109375,-8.889616012573242,-2.92828369140625,0.5969955325126648,3.555288076400757,2.171196937561035
20170301,8163.783203125,-8.75654411315918,-2.8014755249023438,0.588489294052124,3.42793345451355,1.859415054321289
20170302,8121.77099609375,-8.277082443237305,-2.4924850463867188,0.6019229888916016,3.442544937133789,2.198899507522583
20170303,8430.798828125,-7.86366081237793,-2.0839576721191406,0.6086168885231018,3.464935064315796,2.0784571170806885
20170304,8266.359375,-7.728490829467773,-1.777679443359375,0.6189459562301636,3.5755233764648438,2.2354421615600586
20170305,8574.7646484375,-7.558536529541016,-1.5594902038574219,0.626433253288269,3.5750725269317627,2.276902914047241
20170306,8594.2890625,-7.444353103637695,-1.5413589477539062,0.6316556930541992,3.666931390762329,2.3608458042144775
20170307,8602.392578125,-7.55052375793457,-1.3991851806640625,0.6246586441993713,3.5787103176116943,2.3907923698425293
20170308,9016.775390625,-7.460029602050781,-1.2944107055664062,0.6153507232666016,3.460580825805664,2.094460964202881
20170309,8954.76953125,-7.022912979125977,-1.0065021514892578,0.6281176805496216,3.4835009574890137,2.4474284648895264
