DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN
20170101,9206.9961221258,-1.9400162788080126,2.918250624687338,0.915126384307925,6.337239267920792,10.130843697066917
20170102,9460.603117619392,-2.0844723038384387,2.9735827804190706,0.8856671352722646,6.0977969743900795,9.669178791467782
20170103,9330.889437624683,-3.1454802692847177,2.178658154861448,0.8708137336000025,6.032917865539695,10.20703410350095
20170104,9461.729395815984,-2.5441159596126295,1.8397775397540652,0.8692544468358296,5.842457323240282,9.855411046803118
20170105,9315.498393047725,-2.2227592665727927,1.989322009388741,0.8976515552527075,6.009416669230578,9.931627932408672
20170106,10296.197890841006,-2.829305658660559,1.9860987955049485,0.8514417583414551,5.9035565892778195,9.973727587175924
20170107,9496.941362882835,-2.7135626824282557,1.6475341012876494,0.8929013468357198,6.160708278581801,10.04748274334347
20170108,9528.235329286708,-2.8439615966627,1.319002350194738,0.8571366490730076,6.222700118535175,10.128604936041027
20170109,9693.592041674096,-2.8217966314987395,1.4684516135590893,0.8599715136076633,6.05611867135875,10.13345825875468
20170110,9727.976281105217,-4.199882903918826,0.6135296969075522,0.8553217446192314,5.935760111970633,10.106429301490765
20170111,10245.361080519853,-4.990772314516802,0.4606835128081075,0.8230786093097832,5.838410478771617,9.726217774282548
20170112,9763.259894403096,-4.346065273679995,0.019350154316006646,0.8358438053862793,6.055565650253411,9.995070168120824
20170113,10127.419646794018,-4.920952442954946,0.3444357020474994,0.8412937500189631,5.943024127703135,10.32809764265696
20170114,10205.21495242841,-5.232823544988784,0.09288107469817856,0.8533481807472438,6.070218085664205,10.804873564062365
20170115,9766.418208472354,-5.3814188866975945,-0.11863160877792939,0.8046115691530279,6.211530442455695,10.233974247665842
20170116,9782.204895509298,-6.40390970776572,-0.5520476844862755,0.8169376979062213,6.277818063460169,10.798775230755185
20170117,10224.663519368865,-5.722138443799144,-0.5050372400176392,0.8245991762214007,6.211587698001309,10.611415298743536
20170118,10646.43246108254,-6.287907860053768,-1.5868700204921726,0.8020792964740892,5.9878686092330735,9.99143043688877
20170119,10420.981477003561,-6.267632423908324,-0.7955369348909679,0.816211079758549,6.030630692872663,10.469569128950955
20170120,11140.955926581199,-6.0917674807482705,-1.3317127967480369,0.8412972641947014,6.164355873506225,9.855731619930346
20170121,10800.936017119298,-6.788554426766549,-1.1060753958507783,0.8192258636290196,6.281758627508854,10.276431463857097
20170122,10688.260244010255,-6.877526882705404,-1.383320590719748,0.8279240068655626,6.2782474386464635,10.179039691697795
20170123,11501.262707413707,-6.342094830953482,-1.9225356001591167,0.824919139683571,6.638630899245103,10.104990067103447
20170124,11073.83235784242,-6.99018975674808,-1.2271490578241806,0.8020449087248185,6.259040579129081,10.119618871341597
20170125,11693.60039576145,-6.822206164260433,-2.0305137966691675,0.8091278448645202,6.420942178758078,8.968197198738755
20170126,11535.123361746808,-6.2012985626319255,-1.0004756330541338,0.8211414747993756,6.4064772651029545,9.230018124864735
20170127,12066.794006091231,-7.025997505276041,-1.4718516162390807,0.8489713307492739,6.471971194028477,9.830303435746739
20170128,11474.082528667957,-7.290407201475943,-0.7565467124174576,0.8263611653489312,6.566562849327221,9.167230519829177
20170129,11546.910153563023,-6.616425021279783,-1.0729044861271515,0.847065153735092,6.864691082437923,9.825712472150341
20170130,12092.050758422733,-7.243550370013959,-1.665724510265358,0.8599975770455448,6.887233117147138,9.348627250227354
20170131,12790.087896830308,-6.546285384724805,-1.2144042069103549,0.8286963252244014,6.692568181528942,9.608630533371581
